certificate,genre,rate,metascore,votes,gross,critic_reviews,popularity,awards_wins,awards_nominations,Oscar_Best_Picture_won,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Actor_won,Oscar_Best_Actress_won
R,Horror|Mystery,6.0999999,49.0,90102,37470000.0,190.0,1762.0,0,0,No,No,No,No,No
PG-13,Biography|Crime|Drama,8.0,76.0,561318,164440000.0,195.0,546.0,6,16,No,No,No,No,No
R,Drama|History|War,7.69999981,74.0,301185,108640000.0,200.0,575.0,1,10,No,No,No,No,No
R,Comedy|Drama|Romance,6.80000019,47.0,174854,14590000.0,125.0,953.0,0,0,No,No,No,No,No
G,Drama|Family|Sport,7.0,72.0,27092,75600000.0,90.0,2025.0,0,1,No,No,No,No,No
R,Comedy|Drama,7.5999999,76.0,216309,52350000.0,224.0,1619.0,3,16,No,No,No,No,No
G,Animation|Adventure|Comedy,8.10000038,90.0,727319,380840000.0,302.0,497.0,6,21,No,No,No,No,No
R,Action|Crime|Thriller,8.10000038,69.0,765424,70100000.0,356.0,656.0,2,30,No,No,No,No,No
PG-13,Action|Comedy|Crime,6.5999999,48.0,164878,226140000.0,128.0,2115.0,0,0,No,No,No,No,No
R,Action|Crime|Thriller,7.0999999,63.0,123967,30000.0,141.0,1932.0,0,0,No,No,No,No,No
PG,Adventure|Comedy|Family,4.9000001,35.0,73819,153290000.0,137.0,1249.0,0,0,No,No,No,No,No
R,Comedy|Drama,7.69999981,83.0,147224,22250000.0,242.0,2404.0,14,45,No,No,No,No,No
PG,Animation|Adventure|Comedy,7.5999999,60.0,339723,176390000.0,190.0,2411.0,0,4,No,No,No,No,No
G,Animation|Action|Adventure,6.0,65.0,24802,80920000.0,66.0,,0,0,No,No,No,No,No
PG-13,Sci-Fi|Adventure|Action,5.9000001,42.0,105871,56680000.0,124.0,1824.0,0,0,No,No,No,No,No
PG-13,Biography|Drama,8.19999981,72.0,640458,170710000.0,204.0,598.0,15,31,Yes,Yes,Yes,No,No
PG-13,Drama|Romance,7.5999999,81.0,104612,41600000.0,173.0,2197.0,8,51,No,Yes,No,No,Yes
R,Comedy|Drama|Romance,7.0999999,63.0,69732,4050000.0,163.0,1207.0,3,5,No,No,No,No,No
PG,Animation|Adventure|Comedy,7.19999981,73.0,122802,145770000.0,178.0,1749.0,0,6,No,No,No,No,No
PG-13,Comedy|Drama|Romance,7.0999999,75.0,147188,40570000.0,159.0,2222.0,3,12,No,No,No,No,No
PG-13,Drama,7.5999999,28.0,124720,40270000.0,129.0,2468.0,1,5,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,5.5,45.0,105396,90340000.0,165.0,2534.0,0,0,No,No,No,No,No
R,Comedy,5.69999981,32.0,82255,37880000.0,97.0,919.0,0,0,No,No,No,No,No
R,Action|Drama|History,7.0999999,65.0,106625,78120000.0,144.0,1623.0,0,0,No,No,No,No,No
R,Drama|Mystery|Thriller,7.19999981,78.0,225204,67260000.0,183.0,1606.0,1,2,No,No,No,No,No
R,Comedy|Drama,7.5999999,70.0,12539,310000.0,68.0,,0,0,No,No,No,No,No
PG-13,Comedy|Romance,5.80000019,24.0,113561,126200000.0,117.0,2382.0,0,0,No,No,No,No,No
R,Comedy|Drama|Mystery,7.30000019,90.0,66638,41300105.0,186.0,3486.0,14,42,No,Yes,No,No,No
R,Biography|Drama|Romance,7.0999999,76.0,15104,1290000.0,99.0,,5,16,No,No,No,No,No
PG,Drama|Romance,7.4000001,35.0,167562,41230000.0,79.0,959.0,0,0,No,No,No,No,No
PG,Adventure|Animation|Family,5.19999981,69.0,12435,39880000.0,37.0,,0,3,No,No,No,No,No
R,Comedy|Romance,6.4000001,26.0,90856,21010000.0,95.0,2244.0,0,0,No,No,No,No,No
R,Drama|War,8.0,84.0,38677,1060000.0,102.0,,2,7,No,No,No,No,No
R,Drama|Horror|Sci-Fi,5.5,35.0,77434,33690000.0,176.0,2024.0,0,0,No,No,No,No,No
R,Drama|Romance,7.0999999,69.0,72725,31250000.0,151.0,1645.0,1,6,No,No,No,No,Yes
PG-13,Drama|Mystery|Sci-Fi,6.69999981,59.0,278134,227970000.0,209.0,726.0,0,3,No,No,No,No,No
PG-13,Animation|Comedy|Drama,7.80000019,91.0,43600,7000000.0,168.0,,4,12,No,No,No,No,No
PG-13,Comedy|Drama|Romance,6.69999981,66.0,91631,32540000.0,159.0,2389.0,1,5,No,No,No,No,No
PG-13,Action|Sci-Fi,5.69999981,54.0,216818,132120000.0,265.0,1597.0,0,0,No,No,No,No,No
R,Drama|Mystery|Romance,8.0,86.0,88643,9284265.0,142.0,3647.0,4,13,No,No,No,No,No
PG-13,Action|Crime|Drama,5.30000019,42.0,179675,430000.0,277.0,1422.0,0,0,No,No,No,No,No
R,Romance|Drama,7.69999981,66.0,2908,330000.0,25.0,,0,0,No,No,No,No,No
R,Crime|Drama|Thriller,7.19999981,60.0,208995,92930000.0,210.0,1443.0,1,1,No,No,No,No,No
R,Sci-Fi|Thriller,7.69999981,30.0,369820,20000.0,184.0,1156.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Fantasy,7.5,68.0,419112,214950000.0,289.0,1499.0,0,3,No,No,No,No,No
PG-13,Action|Drama|Mystery,6.5999999,56.0,115655,52780000.0,155.0,2246.0,0,0,No,No,No,No,No
R,Comedy|Drama,7.9000001,68.0,12025,620000.0,52.0,,0,0,No,No,No,No,No
PG-13,Drama|Musical|Romance,7.30000019,40.0,98851,51230000.0,151.0,652.0,1,13,No,No,No,No,No
PG-13,Action|Crime|Thriller,6.80000019,51.0,243998,25300000.0,169.0,2531.0,0,0,No,No,No,No,No
PG-13,Drama|Musical|Romance,7.0,53.0,42525,29080000.0,145.0,1722.0,0,6,No,No,No,No,No
PG,Adventure|Family|Fantasy,7.4000001,63.0,407624,261970000.0,237.0,419.0,4,13,No,No,No,No,No
R,Horror,6.0999999,32.0,90075,15420000.0,191.0,2002.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Thriller,5.80000019,48.0,146847,141200000.0,196.0,82.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,6.69999981,38.0,187967,57640000.0,206.0,756.0,0,0,No,No,No,No,No
PG-13,Drama|Romance,7.4000001,84.0,37396,15850000.0,182.0,,22,49,No,No,No,No,No
PG-13,Horror|Mystery,7.0999999,57.0,259896,128580000.0,273.0,329.0,1,1,No,No,No,No,No
PG,Animation|Adventure|Comedy,7.19999981,75.0,327973,436470000.0,205.0,1551.0,7,17,No,No,No,No,No
R,Drama|Music,7.0,77.0,194782,116720000.0,119.0,975.0,3,5,No,No,No,No,No
PG-13,Drama|Family,7.5999999,80.0,34863,20770000.0,149.0,,5,9,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,5.4000001,48.0,78694,31110000.0,149.0,2620.0,0,0,No,No,No,No,No
PG-13,Drama,7.80000019,76.0,37158,15540000.0,152.0,,1,21,No,No,No,No,No
PG-13,Comedy|Crime|Musical,7.19999981,82.0,176942,170680000.0,222.0,1081.0,19,63,Yes,Yes,No,No,No
PG-13,Action|Adventure|History,7.9000001,85.0,153127,80000.0,283.0,2081.0,5,13,No,No,No,No,No
PG-13,Drama|Romance|Sport,5.5999999,61.0,26465,40120000.0,69.0,2053.0,0,0,No,No,No,No,No
R,Crime|Drama|Thriller,7.4000001,78.0,35743,8110000.0,138.0,,1,9,No,No,No,No,No
PG-13,Comedy|Fantasy,5.5,29.0,76618,35020000.0,76.0,2030.0,0,0,No,No,No,No,No
R,Comedy,7.19999981,54.0,189347,74610000.0,124.0,556.0,0,0,No,No,No,No,No
R,Comedy|Horror,5.5999999,56.0,63726,21160000.0,262.0,1648.0,0,0,No,No,No,No,No
PG,Adventure|Family|Fantasy,7.80000019,82.0,402666,249360000.0,277.0,377.0,3,17,No,No,No,No,No
R,Biography|Comedy|Drama,7.5,90.0,42755,6000000.0,181.0,,7,14,No,No,No,No,No
PG-13,Comedy,6.19999981,52.0,174831,133760000.0,128.0,1898.0,0,0,No,No,No,No,No
PG,Animation|Adventure|Comedy,6.0,48.0,137137,160760000.0,144.0,2747.0,0,1,No,No,No,No,No
PG,Biography|Drama|Family,7.69999981,67.0,177622,51676606.0,225.0,2021.0,3,39,No,Yes,No,No,No
R,Horror|Thriller,6.19999981,38.0,124128,46460000.0,174.0,1758.0,0,0,No,No,No,No,No
R,Mystery|Thriller,7.30000019,64.0,183633,51480000.0,135.0,1066.0,0,0,No,No,No,No,No
PG-13,Comedy|Music,7.30000019,81.0,22841,17510000.0,96.0,,3,9,No,No,No,No,No
